,highest_market_value_in_eur,Born,Age,npxG+xAG,G+A,PrgC,xAG,Ast,PrgP,90s,Min,Starts,PrgR,Rk,G+A-PK,market_value_in_eur
76,0.044178938594053904,0.44000000000001194,0.5833333333333333,0.20444444444444443,0.11538461538461539,0.34756097560975613,0.1506849315068493,0.09090909090909091,0.2491467576791809,0.41329479768786126,0.4138817480719794,0.37142857142857144,0.17355371900826447,0.046132008516678494,0.12138728323699423,6000000
78,0.1053070297304807,0.5200000000000102,0.45833333333333326,0.2577777777777778,0.3076923076923077,0.16463414634146342,0.3287671232876712,0.2727272727272727,0.45051194539249145,0.8034682080924855,0.8049485861182518,0.8285714285714285,0.03512396694214876,0.0468417317246274,0.10404624277456648,17000000
79,0.010836343428730204,0.9200000000000017,0.08333333333333337,0.0,0.0,0.006097560975609756,0.0,0.0,0.0034129692832764505,0.0,0.00032133676092544985,0.0,0.0,0.04719659332860184,0.0,2000000
80,0.0005557099194220616,0.8000000000000114,0.16666666666666674,0.008888888888888889,0.0,0.0,0.0,0.0,0.006825938566552901,0.005780346820809249,0.005784061696658098,0.0,0.0,0.047551454932576294,0.0,50000
81,0.01917199222006113,0.8000000000000114,0.16666666666666674,0.008888888888888889,0.0,0.0,0.0,0.0,0.006825938566552901,0.005780346820809249,0.005784061696658098,0.0,0.0,0.047551454932576294,0.0,3500000
83,0.04140038899694359,0.36000000000001364,0.625,0.14222222222222222,0.038461538461538464,0.2378048780487805,0.10273972602739725,0.0,0.2286689419795222,0.338150289017341,0.33740359897172234,0.3142857142857143,0.07024793388429752,0.04861603974449964,0.05202312138728324,2000000
85,0.0008335648791330927,0.6800000000000068,0.33333333333333326,0.28444444444444444,0.3076923076923077,0.06707317073170732,0.0547945205479452,0.09090909090909091,0.07167235494880546,0.430635838150289,0.43091259640102825,0.39999999999999997,0.16942148760330578,0.049325762952448546,0.23121387283236997,200000
86,0.02195054181717144,0.5200000000000102,0.45833333333333326,0.2711111111111111,0.15384615384615385,0.17073170731707318,0.10273972602739725,0.18181818181818182,0.09556313993174062,0.4739884393063583,0.474293059125964,0.5142857142857142,0.20454545454545456,0.05003548616039744,0.13872832369942198,4000000
87,0.1386496248958044,0.6400000000000006,0.375,0.035555555555555556,0.0,0.006097560975609756,0.0273972602739726,0.0,0.13993174061433447,0.23410404624277456,0.2332904884318766,0.19999999999999998,0.012396694214876033,0.050390347764371894,0.0,6500000
88,0.4998610725201445,0.6000000000000085,0.41666666666666674,0.4266666666666667,0.5384615384615385,0.3048780487804878,0.3150684931506849,0.5454545454545454,0.1945392491467577,0.3959537572254335,0.3968508997429306,0.37142857142857144,0.1859504132231405,0.0511000709723208,0.5895953757225434,25000000
89,0.010836343428730204,0.8000000000000114,0.20833333333333337,0.03111111111111111,0.0,0.054878048780487805,0.02054794520547945,0.0,0.07167235494880546,0.2023121387283237,0.20308483290488433,0.17142857142857143,0.03305785123966942,0.05145493257629524,0.0,2000000
90,0.004167824395665463,0.8400000000000034,0.125,0.08,0.0,0.024390243902439025,0.0136986301369863,0.0,0.0034129692832764505,0.054913294797687855,0.05334190231362467,0.0,0.03925619834710744,0.051809794180269694,0.0,800000
91,0.06640733537093638,0.8400000000000034,0.16666666666666674,0.05777777777777778,0.0,0.03048780487804878,0.0547945205479452,0.0,0.08873720136518772,0.14739884393063582,0.14717223650385605,0.11428571428571428,0.012396694214876033,0.052164655784244146,0.0,12000000
