,highest_market_value_in_eur,Age,npxG+xAG,PrgC,xAG,Ast,G+A,90s,Min,PrgP,Starts,MP,PrgR,Rk,Pos_MF,market_value_in_eur
1045,0.03306474020561267,0.16666666666666674,0.1511111111111111,0.13414634146341464,0.0684931506849315,0.2727272727272727,0.23076923076923078,0.5028901734104045,0.502892030848329,0.1945392491467577,0.5142857142857142,0.7352941176470588,0.22933884297520662,0.8529411764705883,0.0,6000000.0
1047,0.1386496248958044,0.375,0.4133333333333334,0.28658536585365857,0.1643835616438356,0.2727272727272727,0.5,0.6098265895953757,0.6111825192802056,0.1945392491467577,0.5428571428571428,0.8235294117647058,0.39669421487603307,0.853819139596137,1.0,10000000.0
1048,0.0005557099194220616,0.20833333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8546971027216858,0.0,150000.0
1049,0.010836343428730204,0.25,0.017777777777777778,0.03658536585365854,0.0136986301369863,0.0,0.0,0.3179190751445087,0.3190874035989717,0.08191126279863481,0.3142857142857143,0.6176470588235294,0.047520661157024795,0.8560140474100089,0.0,2000000.0
1050,0.11086412892470132,0.16666666666666674,0.25333333333333335,0.20731707317073172,0.1506849315068493,0.2727272727272727,0.15384615384615385,0.338150289017341,0.3383676092544987,0.05802047781569966,0.37142857142857144,0.4411764705882353,0.15495867768595042,0.8568920105355575,0.0,20000000.0
1051,0.11086412892470132,0.16666666666666674,0.36888888888888893,0.3902439024390244,0.21232876712328766,0.4545454545454546,0.42307692307692313,0.49710982658959535,0.49710796915167094,0.13310580204778158,0.5142857142857142,0.5,0.3119834710743802,0.8573309920983319,1.0,20000000.0
1053,0.0011114198388441235,0.25,0.013333333333333334,0.0,0.0,0.0,0.0,0.014450867052023121,0.014138817480719794,0.017064846416382253,0.0,0.0588235294117647,0.004132231404958678,0.8582089552238806,0.0,250000.0
1054,0.08307863295359823,0.25,0.04,0.03658536585365854,0.0136986301369863,0.0,0.038461538461538464,0.03757225433526012,0.03856041131105398,0.017064846416382253,0.02857142857142857,0.1764705882352941,0.01652892561983471,0.858647936786655,0.0,15000000.0
1055,0.08307863295359823,0.25,0.1511111111111111,0.3231707317073171,0.1095890410958904,0.0,0.0,0.36127167630057805,0.36246786632390743,0.29692832764505117,0.37142857142857144,0.4117647058823529,0.1590909090909091,0.8590869183494294,0.0,15000000.0
1056,0.05529313698249514,0.375,0.0,0.01829268292682927,0.0,0.0,0.0,0.005780346820809249,0.004498714652956298,0.013651877133105802,0.0,0.029411764705882353,0.002066115702479339,0.8595258999122037,0.0,8000000.0
1057,0.05529313698249514,0.375,0.20444444444444443,0.31097560975609756,0.17123287671232876,0.09090909090909091,0.07692307692307693,0.29190751445086704,0.29241645244215936,0.1945392491467577,0.3142857142857143,0.47058823529411764,0.21487603305785125,0.8599648814749781,0.0,8000000.0
1058,0.22200611280911367,0.5,0.09777777777777778,0.06707317073170732,0.06164383561643835,0.0,0.038461538461538464,0.1069364161849711,0.10732647814910025,0.04778156996587031,0.11428571428571428,0.23529411764705882,0.05785123966942149,0.8612818261633012,1.0,10000000.0
1059,0.3887190886357321,0.375,0.19111111111111112,0.13414634146341464,0.14383561643835616,0.09090909090909091,0.15384615384615385,0.3208092485549133,0.32197943444730076,0.08532423208191127,0.3142857142857143,0.5294117647058824,0.21487603305785125,0.8617208077260755,1.0,50000000.0
1060,0.09419283134203947,0.33333333333333326,0.02666666666666667,0.03658536585365854,0.0273972602739726,0.09090909090909091,0.038461538461538464,0.48843930635838145,0.48971722365038556,0.25597269624573377,0.4857142857142857,0.676470588235294,0.04338842975206612,0.86215978928885,0.0,17000000.0
1062,0.08307863295359823,0.45833333333333326,0.09777777777777778,0.03048780487804878,0.0410958904109589,0.0,0.07692307692307693,0.19364161849710984,0.19440874035989716,0.030716723549488054,0.14285714285714285,0.6176470588235294,0.07851239669421488,0.8652326602282705,1.0,2500000.0
1063,0.01917199222006113,0.0,0.008888888888888889,0.01829268292682927,0.00684931506849315,0.0,0.0,0.023121387283236997,0.02410025706940874,0.020477815699658702,0.0,0.1764705882352941,0.01859504132231405,0.8656716417910448,1.0,3500000.0
1064,0.1386496248958044,0.29166666666666674,0.08,0.04878048780487805,0.08904109589041095,0.18181818181818182,0.19230769230769232,0.44508670520231214,0.44440874035989714,0.30716723549488056,0.45714285714285713,0.6176470588235294,0.05371900826446281,0.8661106233538192,0.0,15000000.0
1066,0.19422061683801056,0.41666666666666674,0.14222222222222222,0.03658536585365854,0.0273972602739726,0.0,0.11538461538461539,0.9161849710982659,0.9161311053984574,0.3412969283276451,0.9142857142857143,0.9117647058823529,0.03512396694214876,0.8678665496049166,0.0,35000000.0
1067,0.08307863295359823,0.16666666666666674,0.013333333333333334,0.06097560975609756,0.0136986301369863,0.0,0.0,0.04913294797687861,0.047879177377892025,0.027303754266211604,0.0,0.29411764705882354,0.04132231404958678,0.8687445127304654,0.0,15000000.0
1069,0.004167824395665463,0.125,0.0,0.03048780487804878,0.0,0.0,0.0,0.04624277456647399,0.04595115681233933,0.017064846416382253,0.0,0.23529411764705882,0.006198347107438017,0.8705004389815628,0.0,800000.0
1070,0.24979160878021675,0.33333333333333326,0.22666666666666666,0.11585365853658537,0.1232876712328767,0.18181818181818182,0.23076923076923078,0.638728323699422,0.6394601542416452,0.4334470989761092,0.7142857142857143,0.7352941176470588,0.11983471074380166,0.8713784021071115,1.0,45000000.0
1071,0.24979160878021675,0.33333333333333326,0.02666666666666667,0.01829268292682927,0.0136986301369863,0.0,0.0,0.05202312138728324,0.050771208226221075,0.027303754266211604,0.05714285714285714,0.029411764705882353,0.02066115702479339,0.8718173836698859,1.0,45000000.0
1072,0.027507641011392057,0.125,0.07555555555555556,0.13414634146341464,0.10273972602739725,0.2727272727272727,0.15384615384615385,0.15895953757225434,0.15874035989717222,0.08873720136518772,0.02857142857142857,0.5588235294117647,0.07024793388429752,0.8726953467954346,0.0,5000000.0
1073,0.22200611280911367,0.45833333333333326,0.08444444444444445,0.042682926829268296,0.0958904109589041,0.0,0.038461538461538464,0.25722543352601157,0.2570694087403599,0.16723549488054607,0.19999999999999998,0.5882352941176471,0.01859504132231405,0.873134328358209,0.0,12000000.0
1074,0.22200611280911367,0.45833333333333326,0.017777777777777778,0.006097560975609756,0.0273972602739726,0.09090909090909091,0.038461538461538464,0.017341040462427744,0.016388174807197942,0.020477815699658702,0.0,0.0588235294117647,0.0,0.8735733099209834,1.0,12000000.0
1077,0.2775771047513198,0.5,0.16,0.1524390243902439,0.08904109589041095,0.0,0.11538461538461539,0.7283236994219653,0.7297557840616966,0.6996587030716723,0.7428571428571429,0.8529411764705882,0.049586776859504134,0.8757682177348551,0.0,38000000.0
1080,0.16643512086690748,0.6666666666666667,0.0,0.012195121951219513,0.0,0.0,0.0,0.0028901734104046246,0.0012853470437017994,0.0034129692832764505,0.0,0.0,0.004132231404958678,0.8775241439859526,1.0,800000.0
1083,0.0008335648791330927,0.20833333333333337,0.022222222222222223,0.01829268292682927,0.0,0.0,0.038461538461538464,0.02601156069364162,0.026028277634961437,0.013651877133105802,0.02857142857142857,0.08823529411764705,0.01652892561983471,0.8792800702370501,1.0,200000.0
1084,0.00972492358988608,0.20833333333333337,0.022222222222222223,0.01829268292682927,0.0,0.0,0.038461538461538464,0.02601156069364162,0.026028277634961437,0.013651877133105802,0.02857142857142857,0.08823529411764705,0.01652892561983471,0.8792800702370501,1.0,700000.0
1085,0.22200611280911367,0.20833333333333337,0.022222222222222223,0.01829268292682927,0.0,0.0,0.038461538461538464,0.02601156069364162,0.026028277634961437,0.013651877133105802,0.02857142857142857,0.08823529411764705,0.01652892561983471,0.8792800702370501,1.0,1500000.0
1086,0.02195054181717144,0.20833333333333337,0.022222222222222223,0.01829268292682927,0.0,0.0,0.038461538461538464,0.02601156069364162,0.026028277634961437,0.013651877133105802,0.02857142857142857,0.08823529411764705,0.01652892561983471,0.8792800702370501,0.0,1800000.0
1087,0.008613503751041958,0.20833333333333337,0.022222222222222223,0.01829268292682927,0.0,0.0,0.038461538461538464,0.02601156069364162,0.026028277634961437,0.013651877133105802,0.02857142857142857,0.08823529411764705,0.01652892561983471,0.8792800702370501,0.0,900000.0
