Rk,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,highest_market_value_in_eur,Pos_FW,Pos_FWMF,Pos_MF,Pos_MFFW,market_value_in_eur
146.0,2001.0,19.0,6.0,633.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.3,0.7,0.06293706293706294,0.07167235494880546,0.05194805194805195,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.1,0.06,0.1,2000000.0,0.0,0.0,1.0,0.0,2000000.0
147.0,2002.0,8.0,0.0,167.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,0.2,1.8,0.027972027972027972,0.0034129692832764505,0.061688311688311695,0.0,0.0,0.0,0.0,0.0,0.88,0.1,0.98,0.88,0.98,800000.0,0.0,0.0,0.0,1.0,800000.0
148.0,2002.0,17.0,4.0,459.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.8,1.3,0.03496503496503497,0.08873720136518772,0.01948051948051948,0.0,0.0,0.0,0.0,0.0,0.08,0.16,0.25,0.08,0.25,12000000.0,1.0,0.0,0.0,0.0,12000000.0
149.0,1987.0,33.0,30.0,2762.0,30.7,12.0,3.0,15.0,10.0,2.0,3.0,5.0,0.0,11.0,8.7,5.2,13.9,0.5454545454545454,0.5221843003412969,0.75,0.39,0.1,0.49,0.33,0.42,0.36,0.17,0.53,0.28,0.45,25000000.0,0.0,0.0,1.0,0.0,7000000.0
152.0,2005.0,4.0,1.0,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027972027972027972,0.006825938566552901,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,150000.0,0.0,0.0,1.0,0.0,150000.0
153.0,1989.0,15.0,5.0,554.0,6.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,0.4,1.9,0.06293706293706294,0.010238907849829351,0.09415584415584416,0.16,0.0,0.16,0.16,0.16,0.24,0.07,0.3,0.24,0.3,75000000.0,0.0,0.0,1.0,0.0,7000000.0
154.0,1989.0,1.0,0.0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,1.18,1.18,1.18,75000000.0,1.0,0.0,0.0,0.0,7000000.0
160.0,1991.0,22.0,16.0,1289.0,14.3,2.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,2.5,1.7,2.0,3.7,0.13986013986013987,0.25938566552901027,0.18181818181818182,0.14,0.14,0.28,0.07,0.21,0.17,0.14,0.31,0.12,0.26,2500000.0,1.0,0.0,0.0,0.0,1000000.0
163.0,1997.0,24.0,14.0,1158.0,12.9,6.0,1.0,7.0,6.0,0.0,0.0,1.0,0.0,5.9,5.9,1.1,7.0,0.0979020979020979,0.03754266211604096,0.14935064935064937,0.47,0.08,0.54,0.47,0.54,0.46,0.08,0.54,0.46,0.54,20000000.0,0.0,0.0,1.0,0.0,20000000.0
164.0,2003.0,2.0,0.0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.006825938566552901,0.006493506493506494,0.0,0.0,0.0,0.0,0.0,0.1,0.54,0.63,0.1,0.63,4000000.0,0.0,1.0,0.0,0.0,4000000.0
